Frame,X,Y
1182,,
1183,,
1184,931,581
1185,929,581
1186,,
1187,,
1188,,
1189,,
1190,,
1191,,
1192,,
1193,,
1194,,
1195,,
1196,,
1197,,
1198,,
1199,,
1200,,
1201,,
1202,,
1203,,
1204,,
1205,,
1206,,
1207,,
1208,,
1209,,
1210,,
1211,,
1212,,
1213,,
1214,,
1215,,
1216,,
1217,,
1218,,
1219,,
1220,,
1221,,
1222,,
1223,,
1224,,
1225,,
1226,,
1227,,
1228,,
1229,,
1230,,
1231,,
1232,,
1233,,
1234,,
1235,,
1236,,
1237,,
1238,,
1239,,
1240,,
1241,,
1242,,
1243,,
1244,,
1245,,
1246,,
1247,,
1248,,
1249,,
1250,,
1251,,
1252,,
1253,,
1254,,
1255,,
1256,,
1257,,
1258,,
1259,,
1260,,
1261,,
1262,,
1263,,
1264,,
1265,,
1266,,
1267,,
1268,,
1269,,
1270,,
1271,,
1272,,
1273,,
1274,,
1275,881,593
1276,,
1277,,
1278,,
1279,,
1280,882,557
1281,,
1282,,
1283,,
1284,,
1285,,
1286,,
1287,,
1288,,
1289,,
1290,,
1291,,
1292,,
1293,,
1294,,
1295,,
1296,,
1297,,
1298,,
1299,,
1300,,
1301,,
1302,,
1303,,
1304,,
1305,,
1306,,
1307,,
1308,,
1309,,
1310,,
1311,,
1312,,
1313,,
1314,,
1315,,
1316,,
1317,,
1318,,
1319,,
1320,,
1321,,
1322,,
1323,,
1324,,
1325,,
1326,,
1327,,
1328,,
1329,,
1330,,
1331,,
1332,,
1333,,
1334,,
1335,,
1336,,
1337,,
1338,,
1339,,
1340,,
1341,,
1342,,
1343,,
1344,,
1345,,
1346,,
1347,,
1348,,
1349,,
1350,,
1351,,
1352,,
1353,,
1354,,
1355,,
1356,,
1357,,
1358,,
1359,,
1360,,
1361,,
1362,,
1363,922,573
1364,,
1365,,
1366,923,578
1367,,
1368,,
1369,,
1370,,
1371,,
1372,,
1373,,
1374,,
1375,,
1376,,
1377,,
1378,,
1379,,
1380,,
1381,,
1382,,
1383,,
1384,,
1385,,
1386,,
1387,,
1388,,
1389,936,555
1390,,
1391,,
1392,,
1393,927,570
1394,946,550
1395,,
1396,,
1397,,
1398,,
1399,,
1400,949,561
1401,948,554
1402,,
1403,,
1404,,
1405,,
1406,,
1407,949,553
1408,,
1409,,
1410,,
1411,,
1412,,
1413,,
1414,,
1415,,
1416,,
1417,,
1418,,
1419,954,547
1420,951,555
1421,953,561
1422,,
1423,,
1424,,
1425,940,568
1426,,
1427,953,554
1428,,
1429,,
1430,,
1431,,
1432,,
1433,,
1434,,
1435,,
1436,,
1437,,
1438,,
1439,,
1440,949,570
1441,,
1442,,
1443,,
1444,,
1445,,
1446,,
1447,,
1448,,
1449,,
1450,,
1451,,
1452,,
1453,,
1454,,
1455,,
1456,,
1457,,
1458,,
1459,947,551
1460,,
1461,,
1462,1759,573
1463,,
1464,,
1465,,
1466,,
1467,,
1468,,
1469,,
1470,,
1471,948,551
1472,966,568
1473,,
1474,,
1475,,
1476,,
1477,,
1478,,
1479,,
1480,,
1481,,
1482,,
1483,952,538
1484,,
1485,,
1486,953,555
1487,955,562
1488,954,567
1489,,
1490,,
1491,955,559
1492,953,555
1493,,
1494,,
1495,,
1496,,
1497,,
1498,,
1499,955,556
1500,955,562
1501,,
1502,976,564
1503,954,562
1504,977,569
1505,950,554
1506,952,549
1507,,
1508,,
1509,,
1510,,
1511,,
1512,,
1513,,
1514,,
1515,973,565
1516,,
1517,,
1518,,
1519,,
1520,956,536
1521,,
1522,,
1523,,
1524,,
1525,,
1526,,
1527,,
1528,,
1529,,
1530,,
1531,,
1532,,
1533,,
1534,,
1535,,
1536,,
1537,,
1538,,
1539,,
1540,,
1541,957,558
1542,959,566
1543,,
1544,,
1545,957,558
1546,958,558
1547,,
1548,,
1549,17,572
1550,,
1551,,
1552,,
1553,,
1554,,
1555,,
1556,,
1557,953,537
1558,955,543
1559,953,549
1560,954,556
1561,,
1562,,
1563,955,563
1564,,
1565,954,558
1566,945,543
1567,,
1568,,
1569,,
1570,,
1571,,
1572,,
1573,,
1574,,
1575,951,548
1576,952,558
1577,,
1578,,
1579,954,564
1580,954,558
1581,953,556
1582,953,549
1583,,
1584,955,544
1585,958,537
1586,,
1587,,
1588,,
1589,,
1590,955,532
1591,,
1592,,
1593,950,552
1594,952,558
1595,,
1596,,
1597,,
1598,952,559
1599,950,552
1600,950,549
1601,,
1602,,
1603,,
1604,,
1605,,
1606,,
1607,,
1608,,
1609,,
1610,951,550
1611,951,555
1612,952,562
1613,,
1614,,
1615,952,565
1616,,
1617,951,557
1618,951,552
1619,951,549
1620,,
1621,,
1622,,
1623,,
1624,,
1625,,
1626,,
1627,,
1628,,
1629,,
1630,,
1631,,
1632,,
1633,,
1634,,
1635,,
1636,,
1637,,
1638,,
1639,,
1640,,
1641,,
1642,,
1643,,
1644,,
1645,,
1646,,
1647,,
1648,,
1649,,
1650,,
1651,,
1652,,
1653,,
1654,,
1655,,
1656,,
1657,,
1658,,
1659,,
1660,936,516
1661,,
1662,,
1663,941,500
1664,942,495
1665,,
1666,943,483
1667,,
1668,946,474
1669,,
1670,,
1671,,
1672,952,541
1673,,
1674,,
1675,,
1676,,
1677,,
1678,,
1679,,
1680,,
1681,,
1682,,
1683,,
1684,,
1685,,
1686,,
1687,,
1688,958,517
1689,962,473
1690,966,478
1691,967,478
1692,,
1693,,
1694,,
1695,,
1696,972,479
1697,976,482
1698,977,483
1699,982,488
1700,988,494
1701,994,499
1702,1000,507
1703,1006,516
1704,1018,526
1705,1027,540
1706,1039,553
1707,1051,571
1708,1068,592
1709,1084,613
1710,1102,634
1711,1111,619
1712,1122,601
1713,1133,585
1714,1147,570
1715,1164,555
1716,1179,540
1717,1197,524
1718,976,568
1719,1242,495
1720,1269,484
1721,,
1722,,
1723,,
1724,,
1725,,
1726,1390,404
1727,959,564
1728,,
1729,,
1730,1161,405
1731,957,567
1732,,
1733,,
1734,,
1735,,
1736,,
1737,,
1738,,
1739,,
1740,,
1741,,
1742,,
1743,963,566
1744,970,477
1745,966,483
1746,963,490
1747,961,498
1748,961,505
1749,958,513
1750,955,519
1751,,
1752,,
1753,,
1754,952,548
1755,952,558
1756,952,564
1757,,
1758,,
1759,949,558
1760,,
1761,,
1762,945,540
1763,,
1764,,
1765,964,567
1766,,
1767,937,523
1768,935,521
1769,933,519
1770,929,519
1771,927,518
1772,924,516
1773,922,514
1774,918,514
1775,914,515
1776,912,514
1777,910,517
1778,906,520
1779,903,520
1780,899,520
1781,895,525
1782,891,529
1783,889,531
1784,884,535
1785,882,538
1786,,
1787,874,549
1788,867,553
1789,864,559
1790,859,567
1791,856,574
1792,853,580
1793,847,585
1794,844,579
1795,978,568
1796,838,569
1797,834,568
1798,832,565
